문제제목,입출력 예,자바파일
치킨 쿠폰,"chicken | result
--- | ---
100 | 11
1,081 | 120","class Solution {
    public int solution(int chicken) {
        int answer = -1;
        return answer;
    }
}"
[PCCE 기출문제] 8번 / 닉네임 규칙,"nickname | result
--- | ---
""WORLDworld"" | ""VV0RLDvv""
""GO"" | ""G0oo""","class Solution {
    public String solution(String nickname) {
        String answer = """";
        for(int i=0; i<nickname.length(); i++){
            if(nickname.charAt(i) == 'l'){
                answer += ""I"";
            }
            else if(nickname.charAt(i) == 'w'){
                answer += ""vv"";
            }
            else if(nickname.charAt(i) == 'W'){
                answer += ""VV"";
            }
            else if(nickname.charAt(i) == 'O'){
                answer += ""0"";
            }
            else{
                answer += nickname.charAt(i);
            }
        }
        if(answer.length() < 3){
            answer += ""o"";
        }
        if(answer.length() > 8){
            answer = answer.substring(0, 8);
        }
        return answer;
    }
}"
[PCCE 기출문제] 2번 / 각도 합치기,,"import java.util.Scanner;

public class Solution {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int angle1 = sc.nextInt();
        int angle2 = sc.nextInt();

        int sum_angle = angle1 + angle2;
        System.out.println(sum_angle);
    }
}"
[PCCE 기출문제] 5번 / 심폐소생술,"cpr | result
--- | ---
[""call"", ""respiration"", ""repeat"", ""check"", ""pressure""] | [2, 4, 5, 1, 3]
[""respiration"", ""repeat"", ""check"", ""pressure"", ""call""] | [4, 5, 1, 3, 2]",
숫자의 표현,"n | result
--- | ---
15 | 4","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
최소직사각형,"명함 번호 | 가로 길이 | 세로 길이
--- | --- | ---
1 | 60 | 50
2 | 30 | 70
3 | 60 | 30
4 | 80 | 40

sizes | result
--- | ---
[[60, 50], [30, 70], [60, 30], [80, 40]] | 4000
[[10, 7], [12, 3], [8, 15], [14, 7], [5, 15]] | 120
[[14, 4], [19, 6], [6, 16], [18, 7], [7, 11]] | 133","class Solution {
    public int solution(int[][] sizes) {
        int answer = 0;
        return answer;
    }
}"
저주의 숫자 3,"10진법 | 3x 마을에서 쓰는 숫자 | 10진법 | 3x 마을에서 쓰는 숫자
--- | --- | --- | ---
1 | 1 | 6 | 8
2 | 2 | 7 | 10
3 | 4 | 8 | 11
4 | 5 | 9 | 14
5 | 7 | 10 | 16

n | result
--- | ---
15 | 25
40 | 76","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
문자열 밀기,"A | B | result
--- | --- | ---
""hello"" | ""ohell"" | 1
""apple"" | ""elppa"" | -1
""atat"" | ""tata"" | 1
""abc"" | ""abc"" | 0","class Solution {
    public int solution(String A, String B) {
        int answer = 0;
        return answer;
    }
}"
[PCCE 기출문제] 6번 / 가채점,"numbers | our_score | score_list | result
--- | --- | --- | ---
[1] | [100] | [100, 80, 90, 84, 20] | [""Same""]
[3, 4] | [85, 93] | [85, 92, 38, 93, 48, 85, 92, 56] | [""Different"", ""Same""]","class Solution {
    public String[] solution(int[] numbers, int[] our_score, int[] score_list) {
        int num_student = numbers.length;
        String[] answer = new String[num_student];

        for (int i = 0; i < num_student; i++) {
            if (our_score[i] == score_list[i]) {
                answer[i] = ""Same"";
            }
            else {
                answer[i] = ""Different"";
            }
        }

        return answer;
    }
}"
다음 큰 숫자,"n | result
--- | ---
78 | 83
15 | 23","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
피보나치 수,"n | return
--- | ---
3 | 2
5 | 5","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
짝지어 제거하기,"s | result
--- | ---
baabaa | 1
cdcd | 0","class Solution
{
    public int solution(String s)
    {
        int answer = -1;

        // [실행] 버튼을 누르면 출력 값을 볼 수 있습니다.
        System.out.println(""Hello Java"");

        return answer;
    }
}"
유한소수 판별하기,"a | b | result
--- | --- | ---
7 | 20 | 1
11 | 22 | 1
12 | 21 | 2","class Solution {
    public int solution(int a, int b) {
        int answer = 0;
        return answer;
    }
}"
가장 가까운 같은 글자,"s | result
--- | ---
""banana"" | [-1, -1, -1, 2, 2, 2]
""foobar"" | [-1, -1, 1, -1, -1, -1]","class Solution {
    public int[] solution(String s) {
        int[] answer = {};
        return answer;
    }
}"
배열 만들기 2,"l | r | result
--- | --- | ---
5 | 555 | [5, 50, 55, 500, 505, 550, 555]
10 | 20 | [-1]","class Solution {
    public int[] solution(int l, int r) {
        int[] answer = {};
        return answer;
    }
}"
시저 암호,"s | n | result
--- | --- | ---
""AB"" | 1 | ""BC""
""z"" | 1 | ""a""
""a B z"" | 4 | ""e F d""","class Solution {
    public String solution(String s, int n) {
        String answer = """";
        return answer;
    }
}"
카펫,"brown | yellow | return
--- | --- | ---
10 | 2 | [4, 3]
8 | 1 | [3, 3]
24 | 24 | [8, 6]","class Solution {
    public int[] solution(int brown, int yellow) {
        int[] answer = {};
        return answer;
    }
}"
두 개 뽑아서 더하기,"numbers | result
--- | ---
[2,1,3,4,1] | [2,3,4,5,6,7]
[5,0,2,7] | [2,5,7,9,12]","class Solution {
    public int[] solution(int[] numbers) {
        int[] answer = {};
        return answer;
    }
}"
다항식 더하기,"polynomial | result
--- | ---
""3x + 7 + x"" | ""4x + 7""
""x + x + x"" | ""3x""","class Solution {
    public String solution(String polynomial) {
        String answer = """";
        return answer;
    }
}"
특이한 정렬,"numlist | n | result
--- | --- | ---
[1, 2, 3, 4, 5, 6] | 4 | [4, 5, 3, 6, 2, 1]
[10000,20,36,47,40,6,10,7000] | 30 | [36, 40, 20, 47, 10, 6, 7000, 10000]","class Solution {
    public int[] solution(int[] numlist, int n) {
        int[] answer = {};
        return answer;
    }
}"
푸드 파이트 대회,"food | result
--- | ---
[1, 3, 4, 6] | ""1223330333221""
[1, 7, 1, 2] | ""111303111""","class Solution {
    public String solution(int[] food) {
        String answer = """";
        return answer;
    }
}"
배열 조각하기,"arr | query | result
--- | --- | ---
[0, 1, 2, 3, 4, 5] | [4, 1, 2] | [1, 2, 3]

query의 값 | query 처리 전 | query 처리 후 | 비고
--- | --- | --- | ---
4 | [0, 1, 2, 3, 4, 5] | [0, 1, 2, 3, 4] | 0번 인덱스의 쿼리이므로 뒷부분을 자른다.
1 | [0, 1, 2, 3, 4] | [1, 2, 3, 4] | 1번 인덱스의 쿼리이므로 앞부분을 자른다.
2 | [1, 2, 3, 4] | [1, 2, 3] | 2번 인덱스의 쿼리이므로 뒷부분을 자른다.","class Solution {
    public int[] solution(int[] arr, int[] query) {
        int[] answer = {};
        return answer;
    }
}"
코드 처리하기,"code | result
--- | ---
""abc1abc1abc"" | ""acbac""

i | code[i] | mode | ret
--- | --- | --- | ---
0 | ""a"" | 0 | ""a""
1 | ""b"" | 0 | ""a""
2 | ""c"" | 0 | ""ac""
3 | ""1"" | 1 | ""ac""
4 | ""a"" | 1 | ""ac""
5 | ""b"" | 1 | ""acb""
6 | ""c"" | 1 | ""acb""
7 | ""1"" | 0 | ""acb""
8 | ""a"" | 0 | ""acba""
9 | ""b"" | 0 | ""acba""
10 | ""c"" | 0 | ""acbac""","class Solution {
    public String solution(String code) {
        String answer = """";
        return answer;
    }
}"
K번째수,"array | commands | return
--- | --- | ---
[1, 5, 2, 6, 3, 7, 4] | [[2, 5, 3], [4, 4, 1], [1, 7, 3]] | [5, 6, 3]","class Solution {
    public int[] solution(int[] array, int[][] commands) {
        int[] answer = {};
        return answer;
    }
}"
숫자 문자열과 영단어,"숫자 | 영단어
--- | ---
0 | zero
1 | one
2 | two
3 | three
4 | four
5 | five
6 | six
7 | seven
8 | eight
9 | nine

s | result
--- | ---
""one4seveneight"" | 1478
""23four5six7"" | 234567
""2three45sixseven"" | 234567
""123"" | 123","class Solution {
    public int solution(String s) {
        int answer = 0;
        return answer;
    }
}"
