문제제목,입출력 예,자바파일
특수문자 출력하기,,"import java.util.Scanner;

public class Solution {
    public static void main(String[] args) {
        
    }
}"
문자열 내림차순으로 배치하기,"s | return
--- | ---
""Zbcdefg"" | ""gfedcbZ""","class Solution {
    public String solution(String s) {
        String answer = """";
        return answer;
    }
}"
부족한 금액 계산하기,"price | money | count | result
--- | --- | --- | ---
3 | 20 | 4 | 10","class Solution {
    public long solution(int price, int money, int count) {
        long answer = -1;

        return answer;
    }
}"
소인수분해,"n | result
--- | ---
12 | [2, 3]
17 | [17]
420 | [2, 3, 5, 7]","class Solution {
    public int[] solution(int n) {
        int[] answer = {};
        return answer;
    }
}"
문자 개수 세기,"my_string | result
--- | ---
""Programmers"" | [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0]","class Solution {
    public int[] solution(String my_string) {
        int[] answer = {};
        return answer;
    }
}"
문자열 여러 번 뒤집기,"my_string | queries | result
--- | --- | ---
""rermgorpsam"" | [[2, 3], [0, 7], [5, 9], [6, 10]] | ""programmers""

queries | my_string
--- | ---
 | ""rermgorpsam""
[2, 3] | ""remrgorpsam""
[0, 7] | ""progrmersam""
[5, 9] | ""prograsremm""
[6, 10] | ""programmers""","class Solution {
    public String solution(String my_string, int[][] queries) {
        String answer = """";
        return answer;
    }
}"
배열 만들기 4,"arr | result
--- | ---
[1, 4, 2, 5, 3] | [1, 2, 3]

i | arr[i] | stk
--- | --- | ---
0 | 1 | []
1 | 4 | [1]
2 | 2 | [1, 4]
2 | 2 | [1]
3 | 5 | [1, 2]
4 | 3 | [1, 2, 5]
4 | 3 | [1, 2]
- | - | [1, 2, 3]","class Solution {
    public int[] solution(int[] arr) {
        int[] stk = {};
        return stk;
    }
}"
조건 문자열,"ineq | eq | n | m | result
--- | --- | --- | --- | ---
""<"" | ""="" | 20 | 50 | 1
"">"" | ""!"" | 41 | 78 | 0","class Solution {
    public int solution(String ineq, String eq, int n, int m) {
        int answer = 0;
        return answer;
    }
}"
[PCCE 기출문제] 5번 / 산책,"route | result
--- | ---
""NSSNEWWN"" | [-1, 1]
""EESEEWNWSNWWNS"" | [0, 0]",
공 던지기,"numbers | k | result
--- | --- | ---
[1, 2, 3, 4] | 2 | 3
[1, 2, 3, 4, 5, 6] | 5 | 3
[1, 2, 3] | 3 | 2","class Solution {
    public int solution(int[] numbers, int k) {
        int answer = 0;
        return answer;
    }
}"
이진수 더하기,"bin1 | bin2 | result
--- | --- | ---
""10"" | ""11"" | ""101""
""1001"" | ""1111"" | ""11000""","class Solution {
    public String solution(String bin1, String bin2) {
        String answer = """";
        return answer;
    }
}"
문자열 계산하기,"my_string | result
--- | ---
""3 + 4"" | 7","class Solution {
    public int solution(String my_string) {
        int answer = 0;
        return answer;
    }
}"
두 수의 합,"a | b | result
--- | --- | ---
""582"" | ""734"" | ""1316""
""18446744073709551615"" | ""287346502836570928366"" | ""305793246910280479981""
""0"" | ""0"" | ""0""","class Solution {
    public String solution(String a, String b) {
        String answer = """";
        return answer;
    }
}"
수열과 구간 쿼리 2,"arr | queries | result
--- | --- | ---
[0, 1, 2, 4, 3] | [[0, 4, 2],[0, 3, 2],[0, 2, 2]] | [3, 4, -1]","class Solution {
    public int[] solution(int[] arr, int[][] queries) {
        int[] answer = {};
        return answer;
    }
}"
[PCCE 기출문제] 4번 / 저축,"1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
28 | 34 | 40 | 46 | 52 | 58 | 64 | 70 | 78 | 86 | 94 | 102

1 | 2
--- | ---
75 | 100",
문자열 다루기 기본,"s | return
--- | ---
""a234"" | false
""1234"" | true","class Solution {
    public boolean solution(String s) {
        boolean answer = true;
        return answer;
    }
}"
구슬을 나누는 경우의 수,"balls | share | result
--- | --- | ---
3 | 2 | 3
5 | 3 | 10","class Solution {
    public int solution(int balls, int share) {
        int answer = 0;
        return answer;
    }
}"
삼각형의 완성조건 (2),"sides | result
--- | ---
[1, 2] | 1
[3, 6] | 5
[11, 7] | 13","class Solution {
    public int solution(int[] sides) {
        int answer = 0;
        return answer;
    }
}"
영어가 싫어요,"numbers | result
--- | ---
""onetwothreefourfivesixseveneightnine"" | 123456789
""onefourzerosixseven"" | 14067","class Solution {
    public long solution(String numbers) {
        long answer = 0;
        return answer;
    }
}"
무작위로 K개의 수 뽑기,"arr | k | result
--- | --- | ---
[0, 1, 1, 2, 2, 3] | 3 | [0, 1, 2]
[0, 1, 1, 1, 1] | 4 | [0, 1, -1, -1]","class Solution {
    public int[] solution(int[] arr, int k) {
        int[] answer = {};
        return answer;
    }
}"
행렬의 덧셈,"arr1 | arr2 | return
--- | --- | ---
[[1,2],[2,3]] | [[3,4],[5,6]] | [[4,6],[7,9]]
[[1],[2]] | [[3],[4]] | [[4],[6]]","class Solution {
    public int[][] solution(int[][] arr1, int[][] arr2) {
        int[][] answer = {};
        return answer;
    }
}"
그림 확대,"picture | k | result
--- | --- | ---
["".xx...xx."", ""x..x.x..x"", ""x...x...x"", "".x.....x."", ""..x...x.."", ""...x.x..."", ""....x....""] | 2 | [""..xxxx......xxxx.."", ""..xxxx......xxxx.."", ""xx....xx..xx....xx"", ""xx....xx..xx....xx"", ""xx......xx......xx"", ""xx......xx......xx"", ""..xx..........xx.."", ""..xx..........xx.."", ""....xx......xx...."", ""....xx......xx...."", ""......xx..xx......"", ""......xx..xx......"", ""........xx........"", ""........xx........""]
[""x.x"", "".x."", ""x.x""] | 3 | [""xxx...xxx"", ""xxx...xxx"", ""xxx...xxx"", ""...xxx..."", ""...xxx..."", ""...xxx..."", ""xxx...xxx"", ""xxx...xxx"", ""xxx...xxx""]","class Solution {
    public String[] solution(String[] picture, int k) {
        String[] answer = {};
        return answer;
    }
}"
[PCCE 기출문제] 2번 / 피타고라스의 정리,,"import java.util.Scanner;

public class Solution {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int a = sc.nextInt();
        int c = sc.nextInt();

        int b_square = c - a;

        System.out.println(b_square);
    }
}"
[PCCE 기출문제] 4번 / 병과분류,"마지막 글자 | 병과
--- | ---
""_eye"" | ""Ophthalmologyc""
""head"" | ""Neurosurgery""
""infl"" | ""Orthopedics""
""skin"" | ""Dermatology""",
최댓값과 최솟값,"s | return
--- | ---
""1 2 3 4"" | ""1 4""
""-1 -2 -3 -4"" | ""-4 -1""
""-1 -1"" | ""-1 -1""","class Solution {
    public String solution(String s) {
        String answer = """";
        return answer;
    }
}"
JadenCase 문자열 만들기,"s | return
--- | ---
""3people unFollowed me"" | ""3people Unfollowed Me""
""for the last week"" | ""For The Last Week""","class Solution {
    public String solution(String s) {
        String answer = """";
        return answer;
    }
}"
직사각형 별찍기,,"import java.util.Scanner;

class Solution {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int a = sc.nextInt();
        int b = sc.nextInt();

        System.out.println(a + b);
    }
}"
