문제제목,입출력 예,자바파일
혼자서 하는 틱택토,"board | result
--- | ---
[""O.X"", "".O."", ""..X""] | 1
[""OOO"", ""..."", ""XXX""] | 0
[""..."", "".X."", ""...""] | 0
[""..."", ""..."", ""...""] | 1","class Solution {
    public int solution(String[] board) {
        int answer = -1;
        return answer;
    }
}"
요격 시스템,"targets | result
--- | ---
[[4,5],[4,8],[10,14],[11,13],[5,12],[3,7],[1,4]] | 3","class Solution {
    public int solution(int[][] targets) {
        int answer = 0;
        return answer;
    }
}"
[PCCP 기출문제] 1번 / 동영상 재생기,"video_len | pos | op_start | op_end | commands | result
--- | --- | --- | --- | --- | ---
""34:33"" | ""13:00"" | ""00:55"" | ""02:55"" | [""next"", ""prev""] | ""13:00""
""10:55"" | ""00:05"" | ""00:15"" | ""06:55"" | [""prev"", ""next"", ""next""] | ""06:55""
""07:22"" | ""04:05"" | ""00:15"" | ""04:07"" | [""next""] | ""04:17""","class Solution {
    public String solution(String video_len, String pos, String op_start, String op_end, String[] commands) {
        String answer = """";
        return answer;
    }
}"
도둑질,"money | return
--- | ---
[1, 2, 3, 1] | 4","class Solution {
    public int solution(int[] money) {
        int answer = 0;
        return answer;
    }
}"
표 편집,"n | k | cmd | result
--- | --- | --- | ---
8 | 2 | [""D 2"",""C"",""U 3"",""C"",""D 4"",""C"",""U 2"",""Z"",""Z""] | ""OOOOXOOO""
8 | 2 | [""D 2"",""C"",""U 3"",""C"",""D 4"",""C"",""U 2"",""Z"",""Z"",""U 1"",""C""] | ""OOXOXOOO""","class Solution {
    public String solution(int n, int k, String[] cmd) {
        String answer = """";
        return answer;
    }
}"
양과 늑대,"info | edges | result
--- | --- | ---
[0,0,1,1,1,0,1,0,1,0,1,1] | [[0,1],[1,2],[1,4],[0,8],[8,7],[9,10],[9,11],[4,3],[6,5],[4,6],[8,9]] | 5
[0,1,0,1,1,0,1,0,0,1,0] | [[0,1],[0,2],[1,3],[1,4],[2,5],[2,6],[3,7],[4,8],[6,9],[9,10]] | 5","class Solution {
    public int solution(int[] info, int[][] edges) {
        int answer = 0;
        return answer;
    }
}"
두 원 사이의 정수 쌍,"r1 | r2 | result
--- | --- | ---
2 | 3 | 20","class Solution {
    public long solution(int r1, int r2) {
        long answer = 0;
        return answer;
    }
}"
숫자 블록,"begin | end | result
--- | --- | ---
1 | 10 | [0, 1, 1, 2, 1, 3, 1, 4, 3, 5]","class Solution {
    public int[] solution(long begin, long end) {
        int[] answer = {};
        return answer;
    }
}"
조이스틱,"name | return
--- | ---
""JEROEN"" | 56
""JAN"" | 23","class Solution {
    public int solution(String name) {
        int answer = 0;
        return answer;
    }
}"
길 찾기 게임,"nodeinfo | result
--- | ---
[[5,3],[11,5],[13,3],[3,5],[6,1],[1,3],[8,6],[7,2],[2,2]] | [[7,4,6,9,1,8,5,2,3],[9,6,5,8,1,4,3,2,7]]","class Solution {
    public int[][] solution(int[][] nodeinfo) {
        int[][] answer = {};
        return answer;
    }
}"
양궁대회,"n | info | result
--- | --- | ---
5 | [2,1,1,1,0,0,0,0,0,0,0] | [0,2,2,0,1,0,0,0,0,0,0]
1 | [1,0,0,0,0,0,0,0,0,0,0] | [-1]
9 | [0,0,1,2,0,1,1,1,1,1,1] | [1,1,2,0,1,2,2,0,0,0,0]
10 | [0,0,0,0,0,0,0,0,3,4,3] | [1,1,1,1,1,1,1,1,0,0,2]

과녁 점수 | 어피치가 맞힌 화살 개수 | 라이언이 맞힌 화살 개수 | 결과
--- | --- | --- | ---
10 | 2 | 3 | 라이언이 10점 획득
9 | 1 | 2 | 라이언이 9점 획득
8 | 1 | 0 | 어피치가 8점 획득
7 | 1 | 0 | 어피치가 7점 획득
6 | 0 | 0 | 
5 | 0 | 0 | 
4 | 0 | 0 | 
3 | 0 | 0 | 
2 | 0 | 0 | 
1 | 0 | 0 | 
0 | 0 | 0 | 

과녁 점수 | 어피치가 맞힌 화살 개수 | 라이언이 맞힌 화살 개수 | 결과
--- | --- | --- | ---
10 | 2 | 0 | 어피치가 10점 획득
9 | 1 | 2 | 라이언이 9점 획득
8 | 1 | 2 | 라이언이 8점 획득
7 | 1 | 0 | 어피치가 7점 획득
6 | 0 | 1 | 라이언이 6점 획득
5 | 0 | 0 | 
4 | 0 | 0 | 
3 | 0 | 0 | 
2 | 0 | 0 | 
1 | 0 | 0 | 
0 | 0 | 0 | 

과녁 점수 | 어피치가 맞힌 화살 개수 | 라이언이 맞힌 화살 개수 | 결과
--- | --- | --- | ---
10 | 0 | 1 | 라이언이 10점 획득
9 | 0 | 1 | 라이언이 9점 획득
8 | 1 | 2 | 라이언이 8점 획득
7 | 2 | 3 | 라이언이 7점 획득
6 | 0 | 0 | 
5 | 1 | 2 | 라이언이 5점 획득
4 | 1 | 0 | 어피치가 4점 획득
3 | 1 | 0 | 어피치가 3점 획득
2 | 1 | 0 | 어피치가 2점 획득
1 | 1 | 0 | 어피치가 1점 획득
0 | 1 | 0 | 어피치가 0점 획득

과녁 점수 | 어피치가 맞힌 화살 개수 | 라이언이 맞힌 화살 개수 | 결과
--- | --- | --- | ---
10 | 0 | 1 | 라이언이 10점 획득
9 | 0 | 1 | 라이언이 9점 획득
8 | 1 | 2 | 라이언이 8점 획득
7 | 2 | 0 | 어피치가 7점 획득
6 | 0 | 1 | 라이언이 6점 획득
5 | 1 | 2 | 라이언이 5점 획득
4 | 1 | 2 | 라이언이 4점 획득
3 | 1 | 0 | 어피치가 3점 획득
2 | 1 | 0 | 어피치가 2점 획득
1 | 1 | 0 | 어피치가 1점 획득
0 | 1 | 0 | 어피치가 0점 획득","class Solution {
    public int[] solution(int n, int[] info) {
        int[] answer = {};
        return answer;
    }
}"
미로 탈출 명령어,"n | m | x | y | r | c | k | result
--- | --- | --- | --- | --- | --- | --- | ---
3 | 4 | 2 | 3 | 3 | 1 | 5 | ""dllrl""
2 | 2 | 1 | 1 | 2 | 2 | 2 | ""dr""
3 | 3 | 1 | 2 | 3 | 3 | 4 | ""impossible""","class Solution {
    public String solution(int n, int m, int x, int y, int r, int c, int k) {
        String answer = """";
        return answer;
    }
}"
옹알이 (1),"babbling | result
--- | ---
[""aya"", ""yee"", ""u"", ""maa"", ""wyeoo""] | 1
[""ayaye"", ""uuuma"", ""ye"", ""yemawoo"", ""ayaa""] | 3","class Solution {
    public int solution(String[] babbling) {
        int answer = 0;
        return answer;
    }
}"
