문제제목,입출력 예,자바파일
가사 검색,"words | queries | result
--- | --- | ---
[""frodo"", ""front"", ""frost"", ""frozen"", ""frame"", ""kakao""] | [""fro??"", ""????o"", ""fr???"", ""fro???"", ""pro?""] | [3, 2, 4, 1, 0]","class Solution {
    public int[] solution(String[] words, String[] queries) {
        int[] answer = {};
        return answer;
    }
}"
코딩 테스트 공부,"alp | cop | problems | result
--- | --- | --- | ---
10 | 10 | [[10,15,2,1,2],[20,20,3,3,4]] | 15
0 | 0 | [[0,0,2,1,2],[4,5,3,1,2],[4,11,4,0,2],[10,4,0,4,2]] | 13","class Solution {
    public int solution(int alp, int cop, int[][] problems) {
        int answer = 0;
        return answer;
    }
}"
등대,"n | lighthouse | result
--- | --- | ---
8 | [[1, 2], [1, 3], [1, 4], [1, 5], [5, 6], [5, 7], [5, 8]] | 2
10 | [[4, 1], [5, 1], [5, 6], [7, 6], [1, 2], [1, 3], [6, 8], [2, 9], [9, 10]] | 3","class Solution {
    public int solution(int n, int[][] lighthouse) {
        int answer = 0;
        return answer;
    }
}"
단어 퍼즐,"strs | t | result
--- | --- | ---
[""ba"",""na"",""n"",""a""] | ""banana"" | 3
[""app"",""ap"",""p"",""l"",""e"",""ple"",""pp""] | ""apple"" | 2
[""ba"",""an"",""nan"",""ban"",""n""] | ""banana"" | -1","class Solution {
    public int solution(String[] strs, String t) {
        int answer = 0;

        // [실행] 버튼을 누르면 출력 값을 볼 수 있습니다.
        System.out.println(""Hello Java"");

        return answer;
    }
}"
도넛과 막대 그래프,"edges | result
--- | ---
[[2, 3], [4, 3], [1, 1], [2, 1]] | [2, 1, 1, 0]
[[4, 11], [1, 12], [8, 3], [12, 7], [4, 2], [7, 11], [4, 8], [9, 6], [10, 11], [6, 10], [3, 5], [11, 1], [5, 3], [11, 9], [3, 8]] | [4, 0, 1, 2]","class Solution {
    public int[] solution(int[][] edges) {
        int[] answer = {};
        return answer;
    }
}"
중요한 단어를 스포 방지,"그룹 | 총점 | 추가 제한 사항
--- | --- | ---
#1 | 7% | message의 모든 단어는 중복없이 한 번씩만 등장합니다.
#2 | 13% | 모든 스포 방지 구간은 각각 정확히 한 단어의 시작과 끝을 가리킵니다.spoiler_ranges의 길이 = 1
#3 | 45% | 모든 스포 방지 구간은 각각 정확히 한 단어의 시작과 끝을 가리킵니다.
#4 | 35% | 추가 제한 사항 없음

message | spoiler_ranges | result
--- | --- | ---
""here is muzi here is a secret message"" | [[0, 3], [23, 28]] | 1
""my phone number is 01012345678 and may i have your phone number"" | [[5, 5], [25, 28], [34, 40], [53, 59]] | 4","class Solution {
    public int solution(String message, int[][] spoiler_ranges) {
        int answer = 0;
        return answer;
    }
}"
단체사진 찍기,"n | data | answer
--- | --- | ---
2 | [""N~F=0"", ""R~T>2""] | 3648
2 | [""M~C<2"", ""C~M>1""] | 0","class Solution {
    public int solution(int n, String[] data) {
        int answer = 0;
        return answer;
    }
}"
억억단을 외우자,"e | starts | result
--- | --- | ---
8 | [1,3,7] | [6,6,8]","class Solution {
    public int[] solution(int e, int[] starts) {
        int[] answer = {};
        return answer;
    }
}"
유사 칸토어 비트열,"n | l | r | result
--- | --- | --- | ---
2 | 4 | 17 | 8","class Solution {
    public int solution(int n, long l, long r) {
        int answer = 0;
        return answer;
    }
}"
주사위 고르기,"주사위 | 구성
--- | ---
#1 | [1, 2, 3, 4, 5, 6]
#2 | [3, 3, 3, 3, 4, 4]
#3 | [1, 3, 3, 4, 4, 4]
#4 | [1, 1, 4, 4, 5, 5]

A의 주사위 | 승 | 무 | 패
--- | --- | --- | ---
#1, #2 | 596 | 196 | 504
#1, #3 | 560 | 176 | 560
#1, #4 | 616 | 184 | 496
#2, #3 | 496 | 184 | 616
#2, #4 | 560 | 176 | 560
#3, #4 | 504 | 196 | 596

dice | result
--- | ---
[[1, 2, 3, 4, 5, 6], [3, 3, 3, 3, 4, 4], [1, 3, 3, 4, 4, 4], [1, 1, 4, 4, 5, 5]] | [1, 4]
[[1, 2, 3, 4, 5, 6], [2, 2, 4, 4, 6, 6]] | [2]
[[40, 41, 42, 43, 44, 45], [43, 43, 42, 42, 41, 41], [1, 1, 80, 80, 80, 80], [70, 70, 1, 1, 70, 70]] | [1, 3]

주사위 | 구성
--- | ---
#1 | [1, 2, 3, 4, 5, 6]
#2 | [2, 2, 4, 4, 6, 6]

주사위 결과 | 1 (B) | 2 (B) | 3 (B) | 4 (B) | 5 (B) | 6  (B)
--- | --- | --- | --- | --- | --- | ---
2 (A) | 승 | 무 | 패 | 패 | 패 | 패
2 (A) | 승 | 무 | 패 | 패 | 패 | 패
4 (A) | 승 | 승 | 승 | 무 | 패 | 패
4 (A) | 승 | 승 | 승 | 무 | 패 | 패
6 (A) | 승 | 승 | 승 | 승 | 승 | 무
6 (A) | 승 | 승 | 승 | 승 | 승 | 무

주사위 | 구성
--- | ---
#1 | [40, 41, 42, 43, 44, 45]
#2 | [43, 43, 42, 42, 41, 41]
#3 | [1, 1, 80, 80, 80, 80]
#4 | [70, 70, 1, 1, 70, 70]

A의 주사위 | 승 | 무 | 패
--- | --- | --- | ---
#1, #2 | 704 | 16 | 576
#1, #3 | 936 | 24 | 336
#1, #4 | 360 | 24 | 912
#2, #3 | 912 | 24 | 360
#2, #4 | 336 | 24 | 936
#3, #4 | 576 | 16 | 704","class Solution {
    public int[] solution(int[][] dice) {
        int[] answer = {};
        return answer;
    }
}"
[1차] 추석 트래픽,,"class Solution {
    public int solution(String[] lines) {
        int answer = 0;
        return answer;
    }
}"
공 이동 시뮬레이션,"n | m | x | y | queries | result
--- | --- | --- | --- | --- | ---
2 | 2 | 0 | 0 | [[2,1],[0,1],[1,1],[0,1],[2,1]] | 4
2 | 5 | 0 | 1 | [[3,1],[2,2],[1,1],[2,3],[0,1],[2,1]] | 2","class Solution {
    public long solution(int n, int m, int x, int y, int[][] queries) {
        long answer = -1;
        return answer;
    }
}"
당구 연습,"m | n | startX | startY | balls | result
--- | --- | --- | --- | --- | ---
10 | 10 | 3 | 7 | [[7, 7], [2, 7], [7, 3]] | [52, 37, 116]","class Solution {
    public int[] solution(int m, int n, int startX, int startY, int[][] balls) {
        int[] answer = {};
        return answer;
    }
}"
