문제제목,입출력 예,자바파일
글자 지우기,"my_string | indices | result
--- | --- | ---
""apporoograpemmemprs"" | [1, 16, 6, 15, 0, 10, 11, 3] | ""programmers""

index | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
my_string | a | p | p | o | r | o | o | g | r | a | p | e | m | m | e | m | p | r | s","class Solution {
    public String solution(String my_string, int[] indices) {
        String answer = """";
        return answer;
    }
}"
등차수열의 특정한 항만 더하기,"a | d | included | result
--- | --- | --- | ---
3 | 4 | [true, false, false, true, true] | 37
7 | 1 | [false, false, false, true, false, false, false] | 10

 | 1항 | 2항 | 3항 | 4항 | 5항
--- | --- | --- | --- | --- | ---
등차수열 | 3 | 7 | 11 | 15 | 19
included | true | false | false | true | true

 | 1항 | 2항 | 3항 | 4항 | 5항 | 6항 | 7항
--- | --- | --- | --- | --- | --- | --- | ---
등차수열 | 7 | 8 | 9 | 10 | 11 | 12 | 13
included | false | false | false | true | false | false | false","class Solution {
    public int solution(int a, int d, boolean[] included) {
        int answer = 0;
        return answer;
    }
}"
문자열 섞기,"str1 | str2 | result
--- | --- | ---
""aaaaa"" | ""bbbbb"" | ""ababababab""","class Solution {
    public String solution(String str1, String str2) {
        String answer = """";
        return answer;
    }
}"
문자열 내 p와 y의 개수,"s | answer
--- | ---
""pPoooyY"" | true
""Pyy"" | false","class Solution {
    boolean solution(String s) {
        boolean answer = true;

        // [실행] 버튼을 누르면 출력 값을 볼 수 있습니다.
        System.out.println(""Hello Java"");

        return answer;
    }
}"
음양 더하기,"absolutes | signs | result
--- | --- | ---
[4,7,12] | [true,false,true] | 9
[1,2,3] | [false,false,true] | 0","class Solution {
    public int solution(int[] absolutes, boolean[] signs) {
        int answer = 123456789;
        return answer;
    }
}"
없는 숫자 더하기,"numbers | result
--- | ---
[1,2,3,4,6,7,8,0] | 14
[5,8,4,0,6,7,9] | 6","class Solution {
    public int solution(int[] numbers) {
        int answer = -1;
        return answer;
    }
}"
2차원으로 만들기,"num_list | n | result
--- | --- | ---
[1, 2, 3, 4, 5, 6, 7, 8] | 2 | [[1, 2], [3, 4], [5, 6], [7, 8]]

num_list | n | result
--- | --- | ---
[1, 2, 3, 4, 5, 6, 7, 8] | 2 | [[1, 2], [3, 4], [5, 6], [7, 8]]
[100, 95, 2, 4, 5, 6, 18, 33, 948] | 3 | [[100, 95, 2], [4, 5, 6], [18, 33, 948]]","class Solution {
    public int[][] solution(int[] num_list, int n) {
        int[][] answer = {};
        return answer;
    }
}"
합성수 찾기,"n | result
--- | ---
10 | 5
15 | 8","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
중복된 문자 제거,"my_string | result
--- | ---
""people"" | ""peol""
""We are the world"" | ""We arthwold""","class Solution {
    public String solution(String my_string) {
        String answer = """";
        return answer;
    }
}"
배열의 길이를 2의 거듭제곱으로 만들기,"arr | result
--- | ---
[1, 2, 3, 4, 5, 6] | [1, 2, 3, 4, 5, 6, 0, 0]
[58, 172, 746, 89] | [58, 172, 746, 89]","class Solution {
    public int[] solution(int[] arr) {
        int[] answer = {};
        return answer;
    }
}"
"빈 배열에 추가, 삭제하기","arr | flag | result
--- | --- | ---
[3, 2, 4, 1, 3] | [true, false, true, false, false] | [3, 3, 3, 3, 4, 4, 4, 4]

i | flag[i] | arr[i] | X
--- | --- | --- | ---
 |  |  | []
0 | true | 3 | [3, 3, 3, 3, 3, 3]
1 | false | 2 | [3, 3, 3, 3]
2 | true | 4 | [3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4]
3 | false | 1 | [3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4]
4 | false | 3 | [3, 3, 3, 3, 4, 4, 4, 4]","class Solution {
    public int[] solution(int[] arr, boolean[] flag) {
        int[] answer = {};
        return answer;
    }
}"
문자열이 몇 번 등장하는지 세기,"myString | pat | result
--- | --- | ---
""banana"" | ""ana"" | 2
""aaaa"" | ""aa"" | 3","class Solution {
    public int solution(String myString, String pat) {
        int answer = 0;
        return answer;
    }
}"
특정 문자열로 끝나는 가장 긴 부분 문자열 찾기,"myString | pat | result
--- | --- | ---
""AbCdEFG"" | ""dE"" | ""AbCdE""
""AAAAaaaa"" | ""a"" | ""AAAAaaaa""","class Solution {
    public String solution(String myString, String pat) {
        String answer = """";
        return answer;
    }
}"
1로 만들기,"num_list | result
--- | ---
[12, 4, 15, 1, 14] | 11","class Solution {
    public int solution(int[] num_list) {
        int answer = 0;
        return answer;
    }
}"
문자열 뒤집기,"my_string | s | e | result
--- | --- | --- | ---
""Progra21Sremm3"" | 6 | 12 | ""ProgrammerS123""
""Stanley1yelnatS"" | 4 | 10 | ""Stanley1yelnatS""","class Solution {
    public String solution(String my_string, int s, int e) {
        String answer = """";
        return answer;
    }
}"
