문제제목,입출력 예,자바파일
"1,2,3 떨어트리기","노드 번호 | 노드에 쌓인 숫자의 합
--- | ---
1 | 0
2 | 0
3 | 0
4 | 3
5 | 0
6 | 0
7 | 5
8 | 1
9 | 2
10 | 3

edges | target | result
--- | --- | ---
[[2, 4], [1, 2], [6, 8], [1, 3], [5, 7], [2, 5], [3, 6], [6, 10], [6, 9]] | [0, 0, 0, 3, 0, 0, 5, 1, 2, 3] | [1, 1, 2, 2, 2, 3, 3]
[[1, 2], [1, 3]] | [0, 7, 3] | [1, 1, 3, 2, 3]
[[1, 3], [1, 2]] | [0, 7, 1] | [-1]","class Solution {
    public int[] solution(int[][] edges, int[] target) {
        int[] answer = {};
        return answer;
    }
}"
방의 개수,"arrows | return
--- | ---
[6, 6, 6, 4, 4, 4, 2, 2, 2, 0, 0, 0, 1, 6, 5, 5, 3, 6, 0] | 3","class Solution {
    public int solution(int[] arrows) {
        int answer = 0;
        return answer;
    }
}"
짝수 행 세기,"a | result
--- | ---
[[0,1,0],[1,1,1],[1,1,0],[0,1,1]] | 6
[[1,0,0],[1,0,0]] | 0
[[1,0,0,1,1],[0,0,0,0,0],[1,1,0,0,0],[0,0,0,0,1]] | 72

a | 1열 | 2열 | 3열
--- | --- | --- | ---
1행 | 0 | 1 | 0
2행 | 1 | 1 | 1
3행 | 1 | 1 | 0
4행 | 0 | 1 | 1

b | 1열 | 2열 | 3열
--- | --- | --- | ---
1행 | 1 | 1 | 0
2행 | 1 | 1 | 0
3행 | 0 | 1 | 1
4행 | 0 | 1 | 1

b | 1열 | 2열 | 3열
--- | --- | --- | ---
1행 | 1 | 1 | 0
2행 | 0 | 1 | 1
3행 | 1 | 1 | 0
4행 | 0 | 1 | 1

b | 1열 | 2열 | 3열
--- | --- | --- | ---
1행 | 1 | 1 | 0
2행 | 0 | 1 | 1
3행 | 0 | 1 | 1
4행 | 1 | 1 | 0

b | 1열 | 2열 | 3열
--- | --- | --- | ---
1행 | 0 | 1 | 1
2행 | 1 | 1 | 0
3행 | 1 | 1 | 0
4행 | 0 | 1 | 1

b | 1열 | 2열 | 3열
--- | --- | --- | ---
1행 | 0 | 1 | 1
2행 | 1 | 1 | 0
3행 | 0 | 1 | 1
4행 | 1 | 1 | 0

b | 1열 | 2열 | 3열
--- | --- | --- | ---
1행 | 0 | 1 | 1
2행 | 0 | 1 | 1
3행 | 1 | 1 | 0
4행 | 1 | 1 | 0

a | 1열 | 2열 | 3열
--- | --- | --- | ---
1행 | 1 | 0 | 0
2행 | 1 | 0 | 0

a | 1열 | 2열 | 3열 | 4열 | 5열
--- | --- | --- | --- | --- | ---
1행 | 1 | 0 | 0 | 1 | 1
2행 | 0 | 0 | 0 | 0 | 0
3행 | 1 | 1 | 0 | 0 | 0
4행 | 0 | 0 | 0 | 0 | 1","class Solution {
    public int solution(int[][] a) {
        int answer = -1;
        return answer;
    }
}"
경사로의 개수,"grid | d | k | result
--- | --- | --- | ---
[[3, 4, 6, 5, 3], [3, 5, 5, 3, 6], [5, 6, 4, 3, 6], [7, 4, 3, 5, 0]] | [1, -2, -1, 0, 2] | 2 | 16
[[3, 6, 11, 12], [4, 8, 15, 10], [2, 7, 0, 16]] | [1, -2, 5] | 3 | 1
[[0, 0, 0], [1, 0, 0], [0, 0, 0], [0, 0, 1], [1, 0, 0]] | [0, 0, 1, -1, 0, 0, 1, -1] | 10 | 595737277","class Solution {
    public int solution(int[][] grid, int[] d, int k) {
        int answer = 0;
        return answer;
    }
}"
최고 속도,"그룹 | 총점 | 추가 제한 사항
--- | --- | ---
#1 | 15% | 모든 도로는 x축에 평행합니다. 즉,y1=y2입니다.
#2 | 30% | 주어지는 모든 좌표의 절댓값은 40 이하의 정수입니다.
#3 | 55% | 추가 제한 사항 없음

city | road | result
--- | --- | ---
[[-1, 3], [7, 3], [1, -1], [-2, 6]] | [[-1, 7, 7, 7, 80], [-3, 3, 9, 3, 45], [-2, -4, -2, 6, 60], [1, -4, 1, 8, 50], [5, 1, 5, 7, 70]] | [70, 50, 0]
[[3, 5], [3, 3], [2, 1], [9, 1], [7, -1]] | [[3, -2, 3, 4, 30], [5, 1, 9, 1, 29], [3, 4, 3, 8, 99], [1, 1, 5, 1, 99], [7, -3, 7, 5, 99]] | [0, 30, 29, 29]","class Solution {
    public int[] solution(int[][] city, int[][] road) {
        int[] answer = {};
        return answer;
    }
}"
가장 큰 삼각형 덩어리,"그룹 | 총점 | 추가 제한 사항
--- | --- | ---
#1 | 50% | N×M≤ 20
#2 | 50% | 추가 제한 사항 없음

grid | result
--- | ---
[[-1, -1, -1], [1, 1, -1], [1, 1, 1]] | 5
[[1, -1, 1], [-1, 1, -1]] | 4
[[1]] | 1","class Solution {
    public int solution(int[][] grid) {
        int answer = 0;
        return answer;
    }
}"
숫자 야구,"제출 | 단서 | 설명
--- | --- | ---
7000 | ""0S 1B"" | 7이 비밀번호에 포함되어 있지만 위치가 틀렸으므로 1 BALL입니다.
2244 | ""0S 0B"" | -
3333 | ""1S 3B"" | 3이 비밀번호에 포함되어 있습니다. 위치가 정확한 3이 1개, 위치가 틀린 3이 3개 있으므로 1 STRIKE, 3 BALL 입니다.
3457 | ""2S 1B"" | 3, 5, 7이 비밀번호에 포함되어 있습니다. 5, 7은 위치가 정확합니다. 따라서 2 STRIKE, 1 BALL 입니다.
7531 | ""0S 4B"" | 7, 5, 3, 1이 비밀번호에 포함되어 있지만 네 숫자 모두 위치가 틀렸으므로 4 BALL 입니다.
1357 | ""4S 0B"" | 1, 3, 5, 7이 비밀번호에 포함되어 있고, 네 숫자 모두 위치가 정확하므로 4 STRIKE 입니다.

그룹 | 총점 | 추가 제한 사항
--- | --- | ---
#1 | 10% | n= 3024
#2 | 40% | n= 33
#3 | 25% | n= 14
#4 | 15% | n= 9
#5 | 10% | n= 6

n | result
--- | ---
3024 | 1357
3024 | 3986
33 | 7685","import java.util.function.Function;

class Solution {
    public int solution(int n, Function<Integer, String> submit) {
        for(int i = 1000; i <= 9999; i++)
            if (submit.apply(i).equals(""4S 0B"")) return i;
        return 0;
    }
}"
제곱 개수 배열,"그룹 | 총점 | 테스트 케이스 그룹 설명
--- | --- | ---
#1 | 5% | l = r
#2 | 15% | N≤ 100,arr[i]≤ 10
#3 | 35% | 정답이C = 1인 테스트 케이스만 주어집니다.
#4 | 45% | 추가 제한 사항 없음

arr | l | r | result
--- | --- | --- | ---
[3, 2, 3, 1, 1] | 5 | 7 | [8, 2]
[2, 2, 2] | 2 | 2 | [2, 6]
[8, 8, 6, 5, 2, 9, 8, 4, 3, 10] | 25 | 27 | [15, 3]
[70195, 25471, 7389, 58187, 18454, 90532, 97667, 17148, 91636, 2810] | 126058 | 462933 | [27554327568, 1]
[16952, 70276, 16771, 37992, 87549, 54906, 36718, 20478, 57088, 27916, 51509, 83422, 51707, 18807, 80859, 2673, 37734, 93380] | 149845 | 228204 | [6860339640, 9190]
[49134, 86806, 94548, 88849, 95022, 28334, 16637, 79487, 23773, 7314, 47370, 50269, 36573, 9415, 44674, 28096] | 61242 | 88535 | [2369282964, 59513]","class Solution {
    public long[] solution(int[] arr, long l, long r) {
        long[] answer = {};
        return answer;
    }
}"
시험장 나누기,"k | num | links | result
--- | --- | --- | ---
3 | [12, 30, 1, 8, 8, 6, 20, 7, 5, 10, 4, 1] | [[-1, -1], [-1, -1], [-1, -1], [-1, -1], [8, 5], [2, 10], [3, 0], [6, 1], [11, -1], [7, 4], [-1, -1], [-1, -1]] | 40
1 | [6, 9, 7, 5] | [[-1, -1], [-1, -1], [-1, 0], [2, 1]] | 27
2 | [6, 9, 7, 5] | [[-1, -1], [-1, -1], [-1, 0], [2, 1]] | 14
4 | [6, 9, 7, 5] | [[-1, -1], [-1, -1], [-1, 0], [2, 1]] | 9","class Solution {
    public int solution(int k, int[] num, int[][] links) {
        int answer = 0;
        return answer;
    }
}"
격자 뒤집기 미로,"그룹 | 총점 | 테스트 케이스 그룹 설명
--- | --- | ---
#1 | 10% | n= 1
#2 | 20% | n과m이 모두 홀수입니다
#3 | 25% | 3 ≤n+m≤ 16
#4 | 45% | 추가 제한 사항 없음

visible | hidden | k | result
--- | --- | --- | ---
[[1, 2], [3, 4]] | [[5, 6], [7, 8]] | 0 | 20
[[1, 2], [3, 4]] | [[5, 6], [7, 8]] | 5 | 11","class Solution {
    public int solution(int[][] visible, int[][] hidden, int k) {
        int answer = 0;
        return answer;
    }
}"
브라이언의 고민,"sentence | answer
--- | ---
""HaEaLaLaObWORLDb"" | ""HELLO WORLD""
""SpIpGpOpNpGJqOqA"" | ""SIGONG JOA""
""AxAxAxAoBoBoB"" | ""invalid""","class Solution {
    public String solution(String sentence) {
        String answer = """";
        return answer;
    }
}"
