문제제목,입출력 예,자바파일
[3차] 방금그곡,"m | musicinfos | answer
--- | --- | ---
""ABCDEFG"" | [""12:00,12:14,HELLO,CDEFGAB"", ""13:00,13:05,WORLD,ABCDEF""] | ""HELLO""
""CC#BCC#BCC#BCC#B"" | [""03:00,03:30,FOO,CC#B"", ""04:00,04:08,BAR,CC#BCC#BCC#B""] | ""FOO""
""ABC"" | [""12:00,12:14,HELLO,C#DEFGAB"", ""13:00,13:05,WORLD,ABCDEF""] | ""WORLD""","class Solution {
    public String solution(String m, String[] musicinfos) {
        String answer = """";
        return answer;
    }
}"
섬 연결하기,"n | costs | return
--- | --- | ---
4 | [[0,1,1],[0,2,2],[1,2,5],[1,3,1],[2,3,8]] | 4","class Solution {
    public int solution(int n, int[][] costs) {
        int answer = 0;
        return answer;
    }
}"
여행경로,"tickets | return
--- | ---
[[""ICN"", ""JFK""], [""HND"", ""IAD""], [""JFK"", ""HND""]] | [""ICN"", ""JFK"", ""HND"", ""IAD""]
[[""ICN"", ""SFO""], [""ICN"", ""ATL""], [""SFO"", ""ATL""], [""ATL"", ""ICN""], [""ATL"",""SFO""]] | [""ICN"", ""ATL"", ""ICN"", ""SFO"", ""ATL"", ""SFO""]","class Solution {
    public String[] solution(String[][] tickets) {
        String[] answer = {};
        return answer;
    }
}"
가장 먼 노드,"n | vertex | return
--- | --- | ---
6 | [[3, 6], [4, 3], [3, 2], [1, 3], [1, 2], [2, 4], [5, 2]] | 3","class Solution {
    public int solution(int n, int[][] edge) {
        int answer = 0;
        return answer;
    }
}"
징검다리 건너기,"stones | k | result
--- | --- | ---
[2, 4, 5, 3, 2, 1, 4, 2, 5, 1] | 3 | 3","class Solution {
    public int solution(int[] stones, int k) {
        int answer = 0;
        return answer;
    }
}"
부대복귀,"n | roads | sources | destination | result
--- | --- | --- | --- | ---
3 | [[1, 2], [2, 3]] | [2, 3] | 1 | [1, 2]
5 | [[1, 2], [1, 4], [2, 4], [2, 5], [4, 5]] | [1, 3, 5] | 5 | [2, -1, 0]","class Solution {
    public int[] solution(int n, int[][] roads, int[] sources, int destination) {
        int[] answer = {};
        return answer;
    }
}"
테이블 해시 함수,"data | col | row_begin | row_end | result
--- | --- | --- | --- | ---
[[2,2,6],[1,5,10],[4,2,9],[3,8,3]] | 2 | 2 | 3 | 4","class Solution {
    public int solution(int[][] data, int col, int row_begin, int row_end) {
        int answer = 0;
        return answer;
    }
}"
개인정보 수집 유효기간,"약관 종류 | 유효기간
--- | ---
A | 6 달
B | 12 달
C | 3 달

번호 | 개인정보 수집 일자 | 약관 종류
--- | --- | ---
1 | 2021.05.02 | A
2 | 2021.07.01 | B
3 | 2022.02.19 | C
4 | 2022.02.20 | C

today | terms | privacies | result
--- | --- | --- | ---
""2022.05.19"" | [""A 6"", ""B 12"", ""C 3""] | [""2021.05.02 A"", ""2021.07.01 B"", ""2022.02.19 C"", ""2022.02.20 C""] | [1, 3]
""2020.01.01"" | [""Z 3"", ""D 5""] | [""2019.01.01 D"", ""2019.11.15 Z"", ""2019.08.02 D"", ""2019.07.01 D"", ""2018.12.28 Z""] | [1, 4, 5]

약관 종류 | 유효기간
--- | ---
Z | 3 달
D | 5 달

번호 | 개인정보 수집 일자 | 약관 종류
--- | --- | ---
1 | 2019.01.01 | D
2 | 2019.11.15 | Z
3 | 2019.08.02 | D
4 | 2019.07.01 | D
5 | 2018.12.28 | Z","class Solution {
    public int[] solution(String today, String[] terms, String[] privacies) {
        int[] answer = {};
        return answer;
    }
}"
연속 펄스 부분 수열의 합,"sequence | result
--- | ---
[2, 3, -6, 1, 3, -1, 2, 4] | 10","class Solution {
    public long solution(int[] sequence) {
        long answer = 0;
        return answer;
    }
}"
달리기 경주,"players | callings | result
--- | --- | ---
[""mumu"", ""soe"", ""poe"", ""kai"", ""mine""] | [""kai"", ""kai"", ""mine"", ""mine""] | [""mumu"", ""kai"", ""mine"", ""soe"", ""poe""]","class Solution {
    public String[] solution(String[] players, String[] callings) {
        String[] answer = {};
        return answer;
    }
}"
