문제제목,입출력 예,자바파일
H-Index,"citations | return
--- | ---
[3, 0, 6, 1, 5] | 3","class Solution {
    public int solution(int[] citations) {
        int answer = 0;
        return answer;
    }
}"
피로도,"k | dungeons | result
--- | --- | ---
80 | [[80,20],[50,40],[30,10]] | 3","class Solution {
    public int solution(int k, int[][] dungeons) {
        int answer = -1;
        return answer;
    }
}"
다음에 올 숫자,"common | result
--- | ---
[1, 2, 3, 4] | 5
[2, 4, 8] | 16","class Solution {
    public int solution(int[] common) {
        int answer = 0;
        return answer;
    }
}"
기사단원의 무기,"number | limit | power | result
--- | --- | --- | ---
5 | 3 | 2 | 10
10 | 3 | 2 | 21","class Solution {
    public int solution(int number, int limit, int power) {
        int answer = 0;
        return answer;
    }
}"
행렬의 곱셈,"arr1 | arr2 | return
--- | --- | ---
[[1, 4], [3, 2], [4, 1]] | [[3, 3], [3, 3]] | [[15, 15], [15, 15], [15, 15]]
[[2, 3, 2], [4, 2, 4], [3, 1, 4]] | [[5, 4, 3], [2, 4, 1], [3, 1, 1]] | [[22, 22, 11], [36, 28, 18], [29, 20, 14]]","class Solution {
    public int[][] solution(int[][] arr1, int[][] arr2) {
        int[][] answer = {};
        return answer;
    }
}"
기능개발,"progresses | speeds | return
--- | --- | ---
[93, 30, 55] | [1, 30, 5] | [2, 1]
[95, 90, 99, 99, 80, 99] | [1, 1, 1, 1, 1, 1] | [1, 3, 2]","class Solution {
    public int[] solution(int[] progresses, int[] speeds) {
        int[] answer = {};
        return answer;
    }
}"
모의고사,"answers | return
--- | ---
[1,2,3,4,5] | [1]
[1,3,2,4,2] | [1,2,3]","class Solution {
    public int[] solution(int[] answers) {
        int[] answer = {};
        return answer;
    }
}"
연속된 수의 합,"num | total | result
--- | --- | ---
3 | 12 | [3, 4, 5]
5 | 15 | [1, 2, 3, 4, 5]
4 | 14 | [2, 3, 4, 5]
5 | 5 | [-1, 0, 1, 2, 3]","class Solution {
    public int[] solution(int num, int total) {
        int[] answer = {};
        return answer;
    }
}"
[PCCE 기출문제] 8번 / 창고 정리,"storage | num | result
--- | --- | ---
[""pencil"", ""pencil"", ""pencil"", ""book""] | [2, 4, 3, 1] | ""pencil""
[""doll"", ""doll"", ""doll"", ""doll""] | [1, 1, 1, 1] | ""doll""
[""apple"", ""steel"", ""leaf"", ""apple"", ""leaf""] | [5, 3, 5, 3, 7] | ""leaf""
[""mirror"", ""net"", ""mirror"", ""net"", ""bottle""] | [4, 1, 4, 1, 5] | ""mirror""","class Solution {
    public String solution(String[] storage, int[] num) {
        int num_item = 0;
        String[] clean_storage = new String[storage.length];
        int[] clean_num = new int[num.length];
        
        for(int i=0; i<storage.length; i++){
            int clean_idx = -1;
            for(int j=0; j<num_item; j++){
                if(storage[i].equals(clean_storage[j])){
                    clean_idx = j;
                    break;
                }
            }
            if(clean_idx == -1){
                clean_storage[num_item] = Integer.toString(num[i]);
                clean_num[num_item] = num[i];
                num_item += 1;
            }
            else{
                clean_num[clean_idx] += num[i];
            }
        }
        
        // 아래 코드에는 틀린 부분이 없습니다.
        
        int num_max = -1;
        String answer = """";
        for(int i=0; i<num_item; i++){
            if(clean_num[i] > num_max){
                num_max = clean_num[i];
                answer = clean_storage[i];
            }
        }
        return answer;
    }
}"
2016년,"a | b | result
--- | --- | ---
5 | 24 | ""TUE""","class Solution {
    public String solution(int a, int b) {
        String answer = """";
        return answer;
    }
}"
